,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
30,2024-02-10,18:30,Bundesliga,Matchweek 21,Sat,Home,W,3.0,0.0,Bayern Munich,1.3,0.6,39.0,30210.0,Lukáš Hrádecký,3-4-3,Felix Zwayer,Match Report,,14.0,8.0,16.4,0.0,0,0,2024,Bayer Leverkusen
31,2024-02-17,15:30,Bundesliga,Matchweek 22,Sat,Away,W,2.0,1.0,Heidenheim,1.9,0.4,61.0,15000.0,Lukáš Hrádecký,3-4-1-2,Harm Osmers,Match Report,,18.0,3.0,15.7,0.0,0,0,2024,Bayer Leverkusen
32,2024-02-23,20:30,Bundesliga,Matchweek 23,Fri,Home,W,2.0,1.0,Mainz 05,1.1,1.1,67.0,30210.0,Lukáš Hrádecký,3-4-3,Timo Gerach,Match Report,,17.0,7.0,19.8,1.0,0,0,2024,Bayer Leverkusen
33,2024-03-03,15:30,Bundesliga,Matchweek 24,Sun,Away,W,2.0,0.0,Köln,1.5,1.0,77.0,50000.0,Lukáš Hrádecký,3-4-3,Tobias Stieler,Match Report,,17.0,5.0,16.9,2.0,0,0,2024,Bayer Leverkusen
35,2024-03-10,19:30,Bundesliga,Matchweek 25,Sun,Home,W,2.0,0.0,Wolfsburg,2.1,0.2,76.0,29314.0,Lukáš Hrádecký,3-4-3,Daniel Siebert,Match Report,,19.0,8.0,19.5,1.0,0,0,2024,Bayer Leverkusen
37,2024-03-17,15:30,Bundesliga,Matchweek 26,Sun,Away,W,3.0,2.0,Freiburg,2.3,0.9,67.0,34700.0,Lukáš Hrádecký,3-4-3,Harm Osmers,Match Report,,19.0,7.0,16.6,1.0,0,0,2024,Bayer Leverkusen
38,2024-03-30,15:30,Bundesliga,Matchweek 27,Sat,Home,W,2.0,1.0,Hoffenheim,3.1,0.8,67.0,30210.0,Lukáš Hrádecký,3-4-3,Deniz Aytekin,Match Report,,34.0,11.0,17.0,1.0,0,0,2024,Bayer Leverkusen
40,2024-04-06,15:30,Bundesliga,Matchweek 28,Sat,Away,W,1.0,0.0,Union Berlin,2.8,0.3,65.0,22012.0,Lukáš Hrádecký,3-4-3,Benjamin Brand,Match Report,,19.0,7.0,18.1,1.0,1,1,2024,Bayer Leverkusen
42,2024-04-14,17:30,Bundesliga,Matchweek 29,Sun,Home,W,5.0,0.0,Werder Bremen,3.2,0.7,56.0,30210.0,Lukáš Hrádecký,3-4-3,Harm Osmers,Match Report,,19.0,9.0,16.2,0.0,1,1,2024,Bayer Leverkusen
44,2024-04-21,17:30,Bundesliga,Matchweek 30,Sun,Away,D,1.0,1.0,Dortmund,1.1,0.5,52.0,81365.0,Lukáš Hrádecký,3-4-3,Daniel Siebert,Match Report,,13.0,3.0,19.4,3.0,0,0,2024,Bayer Leverkusen
45,2024-04-27,18:30,Bundesliga,Matchweek 31,Sat,Home,D,2.0,2.0,Stuttgart,1.4,1.7,49.0,30210.0,Lukáš Hrádecký,3-4-3,Felix Zwayer,Match Report,,14.0,6.0,20.1,2.0,0,0,2024,Bayer Leverkusen
